cluster_id,ring_id,rank,moi,system_name,body_name,ring_name,x,y,z,dist_to_centroid_ly
K14_C01,4f2f816ca10a937b6229d313c958b0658d8ed817,145,0.999958,Traikaae MS-Z c27-22,Traikaae MS-Z c27-22 7,Traikaae MS-Z c27-22 7 C Ring,-193.031250,116.687500,5281.000000,3116.507114
K14_C01,43945872a4a4ef9ae9276c8f8f371b3c12883cd1,149,0.999956,Pro Eurl ET-S b45-1,Pro Eurl ET-S b45-1 AB 5,Pro Eurl ET-S b45-1 AB 5 C Ring,1262.343750,102.812500,1201.218750,1508.074951
K14_C01,7de92fde3f092f367a450eff8fbfdf907e8b53ae,154,0.999955,Thaileia US-M b54-1,Thaileia US-M b54-1 8,Thaileia US-M b54-1 8 B Ring,110.812500,-127.906250,5221.875000,2908.554913
K14_C01,1721945d40290bc5a32c444654f851e98a35e34b,166,0.999952,Ploea Eurl BG-F d11-0,Ploea Eurl BG-F d11-0 10,Ploea Eurl BG-F d11-0 10 C Ring,3227.250000,148.187500,-97.406250,3263.952301
K14_C01,333f50191528f26980296eaa474c4e31ee2234d8,168,0.999951,Drojeae BJ-B c16-9,Drojeae BJ-B c16-9 2,Drojeae BJ-B c16-9 2 C Ring,-2023.062500,-170.312500,3461.468750,3635.291835
K14_C01,c0209687b4c08fcd417c4a6a5748c193205bf18f,171,0.999951,NGC 4463 Sector HU-D b26-0,NGC 4463 Sector HU-D b26-0 4,NGC 4463 Sector HU-D b26-0 4 B Ring,2640.062500,-520.125000,1778.468750,1527.170287
K14_C01,e7b9b26b77fb2db636df20a52cec619ec545f0ce,174,0.999950,Lysooh JM-Q c7-1,Lysooh JM-Q c7-1 A 5,Lysooh JM-Q c7-1 A 5 C Ring,2248.593750,941.000000,6968.843750,4448.014628
K14_C01,29cc367a40916bae4a168b588a9c5acb106cc9fa,195,0.999944,Pyroifoi EP-Z d21,Pyroifoi EP-Z d21 B 5,Pyroifoi EP-Z d21 B 5 B Ring,4918.687500,-705.843750,5444.156250,4432.363753
K14_C01,d44bfe399a207eb98024c2942a2a732138903824,204,0.999943,Plio Eurl EC-Z c15-2,Plio Eurl EC-Z c15-2 6,Plio Eurl EC-Z c15-2 6 C Ring,2018.406250,617.125000,-379.656250,3163.242349
K14_C01,6a31e3335adc316b36ef26ce8ece6508310ae869,217,0.999940,Prua Dryoae WD-T c19-3,Prua Dryoae WD-T c19-3 B 6,Prua Dryoae WD-T c19-3 B 6 C Ring,1561.093750,-400.531250,1062.125000,1669.356904
K14_C01,47bf34e93f1304b4ee56f2a2f6c42f15940f41cf,225,0.999937,Sifaea GP-V b17-1,Sifaea GP-V b17-1 3,Sifaea GP-V b17-1 3 C Ring,5858.500000,297.750000,597.468750,4819.480380
K14_C01,d538d2a645a18fa299f3fcdd1f735d0f84409d7e,228,0.999935,Sphuedeou IS-B d13-0,Sphuedeou IS-B d13-0 5,Sphuedeou IS-B d13-0 5 C Ring,4442.906250,1492.062500,86.000000,4182.806953
K14_C01,bd97e69b0ef191b1987c14261e78a129f7063f73,252,0.999928,Pro Eurl AX-O b47-0,Pro Eurl AX-O b47-0 ABC 4,Pro Eurl AX-O b47-0 ABC 4 B Ring,1977.875000,55.906250,1237.937500,1515.576661
K14_C01,dd7f52434fd4eb66f0d65988af954aab8b5555a2,253,0.999928,Swoilz MC-L c24-8,Swoilz MC-L c24-8 4,Swoilz MC-L c24-8 4 A Ring,426.468750,-254.875000,1274.000000,1803.562920
K14_C01,63f48edd70f9cedb725c005b90efba2244136c30,256,0.999926,Wregoe DF-W c16-4,Wregoe DF-W c16-4 3,Wregoe DF-W c16-4 3 C Ring,1124.531250,410.062500,-344.531250,3081.168705
K14_C01,22ad1eb3287fe50c548d5d97b6d78eabe88ce609,273,0.999921,Pyramoe HR-Y c3-9,Pyramoe HR-Y c3-9 4,Pyramoe HR-Y c3-9 4 B Ring,-310.593750,-88.656250,5505.468750,3367.555439
K14_C01,3488e31f47358bd57134b415775437137530bbf5,276,0.999920,Droju MS-D b2-0,Droju MS-D b2-0 4,Droju MS-D b2-0 4 B Ring,-784.125000,-543.437500,2817.687500,2374.497885
K14_C01,2247b7bd364bd7af7593c39823dd2d594b181081,280,0.999919,Traikaae QI-B d13-35,Traikaae QI-B d13-35 8,Traikaae QI-B d13-35 8 C Ring,-366.906250,-5.875000,5252.843750,3190.663300
K14_C01,d510056300e7c49ff939986f7e956a758c6dc798,288,0.999917,Blo Eurl LQ-C c26-25,Blo Eurl LQ-C c26-25 8,Blo Eurl LQ-C c26-25 8 C Ring,2634.468750,2.625000,5187.187500,2739.650653
K14_C01,69e64348a4c906e3bc42a77ce9a3a40e4b3ae2ce,314,0.999909,Synuefe RQ-G c26-6,Synuefe RQ-G c26-6 AB 3,Synuefe RQ-G c26-6 AB 3 B Ring,960.781250,-429.468750,77.281250,2699.697984
K14_C01,f6ba4e46ad57f2179244e3e355d6e893819b62d8,315,0.999908,Smojue VA-W b29-0,Smojue VA-W b29-0 5,Smojue VA-W b29-0 5 C Ring,-283.500000,18.093750,3418.500000,1951.468699
K14_C01,63309a4d9b7067c0d8c1bc6670dcc7ef1c4160ee,316,0.999908,Col 132 Sector RP-V c16-1,Col 132 Sector RP-V c16-1 5,Col 132 Sector RP-V c16-1 5 B Ring,1370.656250,-352.906250,-404.625000,3111.044722
K14_C01,3b82fbbb4ec33fa3ac282dc014b26806df34287d,320,0.999907,Aucoks AV-V d3-11,Aucoks AV-V d3-11 5,Aucoks AV-V d3-11 5 B Ring,1057.187500,-33.468750,1847.625000,957.189041
K14_C01,904093e8003b82fdb871c04e20357da34f43869e,322,0.999905,Droju CQ-W c18-6,Droju CQ-W c18-6 6,Droju CQ-W c18-6 6 B Ring,-923.187500,-44.437500,3591.781250,2610.771563
K14_C01,0208e90b62a23d13081af457fec9e0e42b5cd7e7,328,0.999901,Col 359 Sector OJ-W c16-2,Col 359 Sector OJ-W c16-2 6,Col 359 Sector OJ-W c16-2 6 C Ring,-319.625000,45.687500,835.093750,2610.460587
K14_C01,1445307475f7c99b2f728c52a49fbf42fa7c3ed7,329,0.999900,Phroi Phio TB-X c17-0,Phroi Phio TB-X c17-0 6,Phroi Phio TB-X c17-0 6 A Ring,7032.531250,-311.750000,-4125.562500,8763.263005
K14_C01,fce7e846f1fa43dcf0ab431b50609e5407de35ff,340,0.999895,Prua Dryoae QV-Y c16-7,Prua Dryoae QV-Y c16-7 4,Prua Dryoae QV-Y c16-7 4 A Ring,1943.781250,-320.156250,941.812500,1818.934743
K14_C01,0f9a3f6c059b83241bb01ffcdef3d1c526e2dc51,343,0.999892,Swoilz AG-U c4-0,Swoilz AG-U c4-0 AB 7,Swoilz AG-U c4-0 AB 7 A Ring,417.968750,-659.000000,451.000000,2575.948319
K14_C01,25e3fdec0e6dc0eb7e3c81c04319fc12c1fc0fc1,353,0.999888,Whuedeou BI-I c26-0,Whuedeou BI-I c26-0 4,Whuedeou BI-I c26-0 4 B Ring,2538.406250,-1379.531250,59.718750,3131.705550
K14_C01,ce66958be08921ef66d655f1600fb59a53a2fcb6,369,0.999880,Swoidai GC-S d5-32,Swoidai GC-S d5-32 B 9,Swoidai GC-S d5-32 B 9 A Ring,5932.437500,-111.687500,722.625000,4825.952771
K14_C01,86fa9ae71edeaa6ed9352972f145b0199efc3d6c,370,0.999880,Pyramoe FS-R d5-109,Pyramoe FS-R d5-109 AB 5,Pyramoe FS-R d5-109 AB 5 B Ring,-885.562500,-334.562500,5825.031250,3973.644564
K14_C01,1a9651f7953e6cdb66af572e805b0abf51848744,379,0.999875,Traikaae II-K c8-10,Traikaae II-K c8-10 5,Traikaae II-K c8-10 5 C Ring,-1327.531250,46.562500,4418.218750,3338.345648
K14_C01,a759fa07da40af875160daaacb5a3b063855f43a,380,0.999875,Tr 24 Sector SK-D c13-8,Tr 24 Sector SK-D c13-8 AB 5,Tr 24 Sector SK-D c13-8 AB 5 B Ring,881.375000,27.500000,3654.406250,1165.222577
K14_C01,3671a5bf367860ba646e8d2e3bbb375aec948415,387,0.999873,Traikoa BN-Y c15-2,Traikoa BN-Y c15-2 AB 1,Traikoa BN-Y c15-2 AB 1 C Ring,-2158.000000,530.718750,4744.468750,4253.273156
K14_C01,133343d174eb8d3ccfe0679cc9cd5199e63620b0,402,0.999869,Gria Drye AV-V d3-53,Gria Drye AV-V d3-53 B 7,Gria Drye AV-V d3-53 B 7 C Ring,-1457.812500,-63.000000,5664.906250,4217.496003
K14_C01,b66110f4bf954c70a14e56653d5e76f7a2561901,403,0.999869,Bleia Dryiae SQ-P c8-21,Bleia Dryiae SQ-P c8-21 AB 3,Bleia Dryiae SQ-P c8-21 AB 3 C Ring,-748.468750,-108.000000,4423.625000,2864.493215
K14_C01,b7b8c8b5ba8866181d5c1dbe39e713153dcedf7b,404,0.999869,Blaa Dryou QA-P b10-2,Blaa Dryou QA-P b10-2 AB 6,Blaa Dryou QA-P b10-2 AB 6 B Ring,4989.750000,-415.218750,4278.343750,3837.868417
K14_C01,363253e888e8f6f5254575e61d6fc8b68c146c0a,424,0.999857,Droju JN-M c10-8,Droju JN-M c10-8 BC 6,Droju JN-M c10-8 BC 6 A Ring,-225.406250,-43.562500,3242.562500,1837.121711
K14_C01,1aaea3aff3807bbcf3a10c15f32d6e5166c0a908,427,0.999855,Thailoi JN-N c22-7,Thailoi JN-N c22-7 13,Thailoi JN-N c22-7 13 C Ring,-2647.187500,-475.375000,5022.812500,4805.998336
K14_C01,1c8e30c10a536cada7b5901903872f7efaf5c241,433,0.999850,Prua Dryoae XM-D c28-1,Prua Dryoae XM-D c28-1 6,Prua Dryoae XM-D c28-1 6 B Ring,2333.843750,-362.281250,1450.406250,1518.112654
K14_C01,a70490d377e76ebb54192b266451d5b912aaad81,437,0.999850,Thaila ZR-U c19-64,Thaila ZR-U c19-64 ABC 2,Thaila ZR-U c19-64 ABC 2 C Ring,6136.468750,-100.218750,4907.093750,5121.877089
K14_C01,ba47adc075c513f369c07789333b4e5a7974da99,451,0.999843,Bleia Eohn PC-M d7-1,Bleia Eohn PC-M d7-1 11,Bleia Eohn PC-M d7-1 11 B Ring,-449.437500,-1210.812500,2137.156250,2377.617926
K14_C01,d606f26029d87f6f4a0dc5725560d7e38325cc64,461,0.999839,Synuefou EU-G c27-22,Synuefou EU-G c27-22 4,Synuefou EU-G c27-22 4 C Ring,4908.125000,-55.562500,113.625000,4249.309597
K14_C01,be664ab1d3c332d38bbd9afe474acd80a23d610e,464,0.999838,Drojo LW-M c23-6,Drojo LW-M c23-6 ABCDE 4,Drojo LW-M c23-6 ABCDE 4 B Ring,-3293.781250,-243.250000,3803.375000,4952.132010
K14_C01,e75fca3ce134f893c0abebb67dbe258617f7ef86,476,0.999834,Syralie AK-A d119,Syralie AK-A d119 10,Syralie AK-A d119 10 A Ring,2875.843750,148.281250,5393.968750,3033.335488
K14_C01,9dea53fcf69bf58398b455572eb56aa23a9b9ecf,481,0.999832,Col 173 Sector JP-B b31-2,Col 173 Sector JP-B b31-2 5,Col 173 Sector JP-B b31-2 5 A Ring,1063.593750,130.031250,-35.843750,2760.435833
K14_C01,fdc20c8098c7a3d82c77228d1eb2bbc0d64e431c,486,0.999830,Syralia FM-U c3-4,Syralia FM-U c3-4 ABC 7,Syralia FM-U c3-4 ABC 7 B Ring,1417.843750,326.062500,5509.343750,2847.523525
K14_C01,e4525fe59c5a4ddf2b454f418ff220f34394cca0,496,0.999825,Sifaea HZ-E b13-0,Sifaea HZ-E b13-0 1,Sifaea HZ-E b13-0 1 A Ring,5894.437500,356.375000,504.093750,4896.626326
K14_C01,c2e29ca3c5bc6470c3b20662533c5edc655ab4c4,506,0.999823,Blaa Dryou WD-S d4-7,Blaa Dryou WD-S d4-7 7,Blaa Dryou WD-S d4-7 7 B Ring,4788.843750,-848.468750,4477.187500,3820.590091
K14_C01,a90772b62042dd48a888124d72694fe49392b683,508,0.999822,Blau Eur TQ-C c13-0,Blau Eur TQ-C c13-0 13,Blau Eur TQ-C c13-0 13 C Ring,3907.687500,272.218750,4653.125000,3104.863539
K14_C01,59d1d7fe02a0c8e214efc818bcb9d14cd92286b2,521,0.999816,Blo Eurl QV-C b13-2,Blo Eurl QV-C b13-2 A 5,Blo Eurl QV-C b13-2 A 5 A Ring,2537.000000,151.593750,4338.406250,1947.103815
K14_C01,ef4ddb88a5f05d828a628be69c1b08a8f6eab58c,531,0.999812,Blo Thae UM-S c5-0,Blo Thae UM-S c5-0 2,Blo Thae UM-S c5-0 2 A Ring,6197.531250,647.812500,1762.375000,4807.546082
K14_C01,3543fd96194b7e2cc7c6bd0795da501dddf72d63,532,0.999812,Pyramio RY-Y b15-0,Pyramio RY-Y b15-0 2,Pyramio RY-Y b15-0 2 A Ring,1078.468750,-1004.875000,5679.031250,3190.932935
K14_C01,5d2b3b20b2f1d2c0f80f624326b4ac3aa42bd0c2,535,0.999810,Gru Eoq HN-E c14-5,Gru Eoq HN-E c14-5 6,Gru Eoq HN-E c14-5 6 A Ring,6067.250000,-228.000000,3382.187500,4602.481618
K14_C01,b7b2ec122c17b2801c97b173caada52f6f3efbff,538,0.999810,NGC 4463 Sector PE-G d11-37,NGC 4463 Sector PE-G d11-37 ABCD 6,NGC 4463 Sector PE-G d11-37 ABCD 6 B Ring,2994.718750,-56.187500,2135.031250,1570.480500
K14_C01,f08d5cebaf90e0c6d6e8c44fc0a97724cc5220e2,549,0.999803,Prua Dryoae LC-S d5-20,Prua Dryoae LC-S d5-20 6,Prua Dryoae LC-S d5-20 6 A Ring,2475.375000,-176.937500,703.093750,2203.429963
K14_C01,fea0ae38a7e84ebbd6648bd989141dc92772aa20,558,0.999797,Praea Euq LL-N c20-14,Praea Euq LL-N c20-14 BCD 5,Praea Euq LL-N c20-14 BCD 5 B Ring,1097.625000,28.031250,1124.062500,1616.192856
K14_C01,71395d4d9338cfb5b69b2bc089c7c36c04a26bb7,563,0.999794,Traikoa IK-E c25-26,Traikoa IK-E c25-26 8,Traikoa IK-E c25-26 8 A Ring,-2459.968750,-23.156250,5168.687500,4695.861996
K14_C01,dbd47057b785f44e56715a7ea27694ddb6225e21,571,0.999789,M23 Sector JR-V b2-8,M23 Sector JR-V b2-8 6,M23 Sector JR-V b2-8 6 A Ring,-397.000000,16.531250,1911.125000,2070.122934
K14_C01,c19a5dfe120a316a4b36338031b14b3bcfa31359,572,0.999789,Ploea Eur PZ-X b30-0,Ploea Eur PZ-X b30-0 4,Ploea Eur PZ-X b30-0 4 C Ring,5156.687500,419.562500,-400.781250,4783.650865
K14_C01,305d8ab7b4b4a584c38a107db3d7212e1c83fc16,574,0.999789,Aucoks JN-P b11-2,Aucoks JN-P b11-2 5,Aucoks JN-P b11-2 5 A Ring,881.312500,-181.562500,1749.562500,1147.164564
K14_C01,1f1bf6f36c840d0b749556a803303c1c671ea934,584,0.999783,Wregoe PO-K b37-2,Wregoe PO-K b37-2 2,Wregoe PO-K b37-2 2 B Ring,803.531250,313.500000,-262.500000,3048.415585
K14_C01,5c3a0dc589c5d048508b267534ff39f8d92f655e,590,0.999780,Col 173 Sector NJ-P d6-96,Col 173 Sector NJ-P d6-96 AB 2,Col 173 Sector NJ-P d6-96 AB 2 C Ring,1093.531250,46.875000,-143.937500,2859.673587
K14_C01,ea7aa80a2f285c64475d6756666f9b70fb813de3,596,0.999778,Pyroifoea LT-B c16-13,Pyroifoea LT-B c16-13 A 2,Pyroifoea LT-B c16-13 A 2 A Ring,3672.781250,-84.656250,6037.593750,3984.936111
K14_C01,13b62c911349b753ec66e31044f2f426924b6aa9,601,0.999773,Prua Dryoae TI-S d4-0,Prua Dryoae TI-S d4-0 9,Prua Dryoae TI-S d4-0 9 A Ring,2132.218750,-784.187500,684.093750,2230.867691
K14_C01,a72511c3676cd146cdf2bf03e9a7bffca3ec949c,607,0.999768,Swoiwns UH-K c25-13,Swoiwns UH-K c25-13 AB 1,Swoiwns UH-K c25-13 AB 1 B Ring,-291.031250,-28.593750,1331.500000,2262.827764
K14_C01,f43c436294f8ff804d644c8fccbb641ffefbd164,624,0.999751,Blau Eur EW-V c2-10,Blau Eur EW-V c2-10 4,Blau Eur EW-V c2-10 4 A Ring,3948.781250,219.562500,4197.281250,2867.599355
K14_C01,0b09d10aa449fccb94f9d4a11993b3e9a56966df,628,0.999747,Pyroifoi WF-W c18-38,Pyroifoi WF-W c18-38 7,Pyroifoi WF-W c18-38 7 B Ring,3785.125000,-134.000000,6140.718750,4133.805769
K14_C01,00ffaccdaef3073747d5810a919a7ae8cbe639d3,631,0.999745,Traikaae WM-W d1-133,Traikaae WM-W d1-133 AB 3,Traikaae WM-W d1-133 AB 3 B Ring,-150.781250,17.218750,4277.031250,2312.243552
K14_C01,3813d6a8d15a02fafa283f7b8bf618659903473f,635,0.999740,IC 2602 Sector VE-Q c5-10,IC 2602 Sector VE-Q c5-10 3,IC 2602 Sector VE-Q c5-10 3 C Ring,547.375000,-38.687500,278.812500,2594.954630
K14_C01,afae425c33c9ba144337cee7fffa1812c118891d,638,0.999734,Swoiphs IX-W c4-5,Swoiphs IX-W c4-5 3,Swoiphs IX-W c4-5 3 C Ring,3378.187500,-82.250000,424.500000,2923.139284
K14_C01,a50d909c590032c28ba94390678676801f837c19,649,0.999712,Sifeae FB-W c15-3,Sifeae FB-W c15-3 A 10,Sifeae FB-W c15-3 A 10 B Ring,3113.500000,-20.375000,904.937500,2384.945419
K14_C01,0383bd0a135f2207ea25ac9d07dad0a255ee8701,657,0.999705,Pyramoe XB-J b56-13,Pyramoe XB-J b56-13 2,Pyramoe XB-J b56-13 2 A Ring,-271.968750,-159.593750,6535.906250,4254.012152
K14_C01,25474c7a647ade021ed142a3a2160e261e92085c,658,0.999705,Byua Euq DQ-F d11-33,Byua Euq DQ-F d11-33 A 5,Byua Euq DQ-F d11-33 A 5 C Ring,-93.968750,295.406250,6357.281250,4025.898729
K14_C01,482857d00c108f15940569e4912449dd88a352cb,663,0.999690,Blu Thua JV-P c5-7,Blu Thua JV-P c5-7 3,Blu Thua JV-P c5-7 3 A Ring,541.156250,55.656250,1735.250000,1366.293282
K14_C01,c69f030d0db5737f191ee3d83360b70c8216714a,683,0.999668,Bleia Eohn IT-X c2-3,Bleia Eohn IT-X c2-3 A 5,Bleia Eohn IT-X c2-3 A 5 A Ring,-1263.656250,-628.031250,1636.562500,3042.494419
K14_C01,12670c6b95fed8ab6fe495516560dd04e939c68b,685,0.999666,Aucoks QL-W c18-8,Aucoks QL-W c18-8 AB 1,Aucoks QL-W c18-8 AB 1 B Ring,844.593750,-101.937500,2302.343750,784.927778
K14_C01,2a3e8fdb8089bc3a14db3ef57975d42a725e6fff,698,0.999645,Pyramoe AX-P c20-2,Pyramoe AX-P c20-2 AB 7,Pyramoe AX-P c20-2 AB 7 B Ring,-622.937500,-739.718750,6238.968750,4218.977405
K14_C01,47d969b9fc132deebc7068489e612b649112156a,712,0.999620,NGC 5662 Sector LD-R c5-3,NGC 5662 Sector LD-R c5-3 3,NGC 5662 Sector LD-R c5-3 3 C Ring,1459.500000,306.500000,1618.031250,1110.346472
K14_C01,7a508064e7233d12fcaf0514451699cb5eef98f7,735,0.999579,Smojuae SP-U c4-0,Smojuae SP-U c4-0 7,Smojuae SP-U c4-0 7 C Ring,6679.125000,712.000000,2987.593750,5213.388386
K14_C01,277b7f27c40ee7d452f8aa49c92744446987edab,745,0.999555,Byeia Thaa FK-R d4-27,Byeia Thaa FK-R d4-27 ABCD 4,Byeia Thaa FK-R d4-27 ABCD 4 C Ring,-1566.437500,74.375000,3198.531250,3133.960485
K14_C01,f5b910db4dbc39488246d900ade5022e038e080a,746,0.999551,HD 80465,HD 80465 B 2,HD 80465 B 2 C Ring,1682.500000,582.187500,-514.406250,3253.940731
K14_C01,5b9369a865017deaaf6b4c1e17a21847a681a477,751,0.999540,Ploi Eurl CT-D c27-0,Ploi Eurl CT-D c27-0 5,Ploi Eurl CT-D c27-0 5 B Ring,7138.437500,580.125000,96.968750,6208.753159
K14_C01,41c72368bf1106a1fdd0a4da0b81c1cd533491d6,753,0.999540,Pro Eurl TX-J c9-7,Pro Eurl TX-J c9-7 A 2,Pro Eurl TX-J c9-7 A 2 A Ring,2070.937500,301.000000,633.843750,2142.211758
K14_C01,153025871f3214ec551d38567fe1dca90c449a0b,755,0.999529,Traikoa OD-I d10-0,Traikoa OD-I d10-0 ABC 3,Traikoa OD-I d10-0 ABC 3 B Ring,-1655.156250,620.406250,4940.437500,3948.473138
K14_C01,55936738734c273e141d4aaad6a74ffe25e0b589,759,0.999519,Bleae Thua TG-Y c25,Bleae Thua TG-Y c25 5,Bleae Thua TG-Y c25 5 A Ring,-715.218750,-12.937500,1555.625000,2506.783628
K14_C01,bfc3c52f7c60287661a5897e9c7384f42a5e8851,761,0.999516,Praea Euq VX-L c23-1,Praea Euq VX-L c23-1 4,Praea Euq VX-L c23-1 4 A Ring,537.000000,815.250000,1220.968750,1943.804805
K14_C01,70d74fa5a68abdb0b30eaa83dd451166cd8f2083,767,0.999509,Swoilz OY-D c1-20,Swoilz OY-D c1-20 2,Swoilz OY-D c1-20 2 B Ring,688.437500,-74.062500,258.281250,2565.382988
K14_C01,2cb0eb0841c897ef2bc74d1a3f1a8e3f460d2c02,768,0.999508,Flyae Dryoae HB-D c29-10,Flyae Dryoae HB-D c29-10 8,Flyae Dryoae HB-D c29-10 8 B Ring,7200.781250,-85.250000,191.468750,6200.082036
K14_C01,40a7209590b8d25a920f4288d2d6304548773ae0,771,0.999501,Byua Euq AL-V c3-3,Byua Euq AL-V c3-3 4,Byua Euq AL-V c3-3 4 A Ring,-928.781250,526.312500,5513.625000,3782.618917
K14_C01,6a72b12d24222755889184c8edf4fd5e0605ee37,781,0.999462,Drojaea RE-G c27-13,Drojaea RE-G c27-13 14,Drojaea RE-G c27-13 14 C Ring,326.406250,-146.781250,3974.312500,1767.198400
K14_C01,54abbdf854f9948c8f2d8aaaed3b1707560a4ad7,786,0.999452,Thaileia OH-V c2-0,Thaileia OH-V c2-0 5,Thaileia OH-V c2-0 5 B Ring,265.062500,-1155.281250,4185.718750,2274.597655
K14_C01,a31bb808eb07c13838b13e76f2bda37755fcc351,795,0.999419,Preae Theia DM-B d14-5,Preae Theia DM-B d14-5 AB 2,Preae Theia DM-B d14-5 AB 2 A Ring,3766.281250,813.000000,-1110.625000,4481.321947
K14_C01,42e8e889f05175cffd549582812d7c036f6ff3ac,796,0.999418,Bleia Dryiae DU-Q c21-13,Bleia Dryiae DU-Q c21-13 14,Bleia Dryiae DU-Q c21-13 14 B Ring,-556.343750,-152.656250,4976.156250,3099.940373
K14_C01,06890ca9cb669a94a48c83c979d2679634bac726,803,0.999399,Blu Euq WA-F b11-3,Blu Euq WA-F b11-3 3,Blu Euq WA-F b11-3 3 B Ring,-14.312500,4.593750,4305.062500,2235.590955
K14_C01,896903d601eeff22bf663b695f52cb52e9f8cfa2,808,0.999391,Smoje KW-W b44-0,Smoje KW-W b44-0 ABC 1,Smoje KW-W b44-0 ABC 1 B Ring,2455.656250,336.250000,3739.937500,1449.217299
K14_C01,4f97c994b2ffa7a4bfb202d62600ba5e2a9acd29,819,0.999367,Traikaae WF-B c15-1,Traikaae WF-B c15-1 7,Traikaae WF-B c15-1 7 C Ring,-541.562500,699.781250,4702.687500,2972.940494
