cluster_id,ring_id,moi_metric,system_name,body_name,ring_name,x,y,z,rank
D5000_C001,12eab04c6976182a0387b4522a810c9fce0d2c35,0.999976,Eol Flyou TP-E d12-2121,Eol Flyou TP-E d12-2121 7,Eol Flyou TP-E d12-2121 7 A Ring,-9565.625000,-602.625000,17924.218750,63
D5000_C001,ca50870e962e74586dd58587e309d6c1832d1c6d,0.999975,Eord Flyoo LM-W f1-55,Eord Flyoo LM-W f1-55 3,Eord Flyoo LM-W f1-55 3 C Ring,-6658.312500,-2565.468750,17780.968750,65
D5000_C001,f0f7f1c7e685451a91b7bb1ba3b67f0fe870566a,0.999975,Praea Broae EL-P d5-58,Praea Broae EL-P d5-58 5,Praea Broae EL-P d5-58 5 B Ring,8115.812500,-5.500000,51924.281250,66
D5000_C001,0d8b63368904d2709e43e035f1d8775f82ede138,0.999975,Kyloasly BA-A g1177,Kyloasly BA-A g1177 4,Kyloasly BA-A g1177 4 C Ring,-10857.156250,-847.093750,21317.468750,67
D5000_C001,aa7b6f3775331f909eb0fa3da27f790ac7dd62d9,0.999975,Auphaibs CB-N c7-0,Auphaibs CB-N c7-0 3,Auphaibs CB-N c7-0 3 B Ring,-1015.406250,-1053.781250,50494.468750,68
D5000_C001,62ea69ec5b373aa426dd829e751d201c564f2f6d,0.999975,Pheia Ain UQ-D d12-23,Pheia Ain UQ-D d12-23 6,Pheia Ain UQ-D d12-23 6 C Ring,-37.593750,235.750000,-3864.687500,69
D5000_C001,dd54576ee552dc82e37998121f558a9bd08169b7,0.999975,Eorld Grie PZ-O e6-2141,Eorld Grie PZ-O e6-2141 2,Eorld Grie PZ-O e6-2141 2 B Ring,-3635.281250,-1370.250000,30851.375000,70
D5000_C001,e632aa8e73fc66fb3238af40d1b17bfedc204778,0.999975,Hyuqo GD-R d5-424,Hyuqo GD-R d5-424 A 5,Hyuqo GD-R d5-424 A 5 C Ring,-40.343750,-540.093750,35290.812500,71
D5000_C001,ace8d93c969db0dcc38aeddcc4bb5df65a12e93b,0.999975,Pro Eur XE-R c20-1,Pro Eur XE-R c20-1 ABC 1,Pro Eur XE-R c20-1 ABC 1 B Ring,3898.125000,828.625000,1098.906250,73
D5000_C001,5b8b56b5c7a06b6daca63b43e165803770118e51,0.999974,Eorm Breae AL-E d12-340,Eorm Breae AL-E d12-340 2,Eorm Breae AL-E d12-340 2 C Ring,-203.968750,1881.968750,30744.500000,74
D5000_C001,02f76993dc824e116bb60aab6379e65ee1ba4544,0.999974,Eok Blao UF-N d7-377,Eok Blao UF-N d7-377 B 3,Eok Blao UF-N d7-377 B 3 C Ring,10346.218750,-714.968750,27768.937500,75
D5000_C001,19537204c5ff6408952b7952b86b6987fd0b02bd,0.999974,Wredguia VL-L c21-22,Wredguia VL-L c21-22 8,Wredguia VL-L c21-22 8 B Ring,-1059.125000,14.156250,-122.093750,76
D5000_C001,cc753c01f5f062fcba8b119475dddea36fac1f1c,0.999974,Byaa Theia BK-C c27-2,Byaa Theia BK-C c27-2 6,Byaa Theia BK-C c27-2 6 B Ring,2709.531250,295.218750,3966.281250,77
D5000_C001,ad6d4fa0c426976f91f9b932052b181575211cce,0.999974,Dryio Flyuae KF-P c22-1379,Dryio Flyuae KF-P c22-1379 2,Dryio Flyuae KF-P c22-1379 2 C Ring,-8054.375000,-105.500000,19099.812500,78
D5000_C001,d80ea6317eed6021ebc62a6752ed3085031bb9d9,0.999974,Hypoi Prou OM-U d3-20,Hypoi Prou OM-U d3-20 5,Hypoi Prou OM-U d3-20 5 B Ring,-14247.781250,-657.406250,24862.593750,79
D5000_C001,05978299282977c433d1f2af31e45f47a7e5031c,0.999974,Prieleau WF-R c4-7,Prieleau WF-R c4-7 3,Prieleau WF-R c4-7 3 C Ring,4898.062500,-18.250000,8116.625000,80
D5000_C001,f031e569f5d8ad96781e3aece62db4e71aee9985,0.999973,Hyuqoae NS-U f2-756,Hyuqoae NS-U f2-756 A 1,Hyuqoae NS-U f2-756 A 1 B Ring,-7213.750000,-1026.093750,35926.937500,81
D5000_C001,df8eb02972c8648fbeee8129166c5b3d67a35642,0.999973,Eumorks BF-R e4-83,Eumorks BF-R e4-83 2,Eumorks BF-R e4-83 2 B Ring,1146.031250,1338.593750,17655.593750,82
D5000_C001,a66ea83b7eb81462b06848a6888cb31a10ea312b,0.999973,Eorgh Prou TT-W c16-188,Eorgh Prou TT-W c16-188 8,Eorgh Prou TT-W c16-188 8 C Ring,-10576.593750,-773.312500,20136.125000,83
D5000_C001,9612ae4e9da08fd4ad6c84d98064fa2d5d522d5d,0.999973,Wregoe FK-I c9-0,Wregoe FK-I c9-0 2,Wregoe FK-I c9-0 2 B Ring,618.531250,-21.625000,-659.875000,84
D5000_C001,0f844b834201fd21bc0c289cb1d8fb7e09459193,0.999973,Eok Blou AA-A h296,Eok Blou AA-A h296 A 5,Eok Blou AA-A h296 A 5 B Ring,-1704.250000,-537.781250,27455.062500,85
D5000_C001,93590fce6643d1504f7db0c13526a201c7c83ec8,0.999973,Splojoea HN-I c23-239,Splojoea HN-I c23-239 9,Splojoea HN-I c23-239 9 C Ring,-1935.906250,111.375000,35813.218750,86
D5000_C001,2519471757235af1d5a8915276b63df5d9ccf057,0.999972,Flyua Hype AW-E c11-0,Flyua Hype AW-E c11-0 7,Flyua Hype AW-E c11-0 7 B Ring,3971.468750,-1298.812500,7115.718750,87
D5000_C001,789ae8c3a7adb58422da19fdc7c62a8aa0dfa136,0.999972,Byoi Thae AD-Z c14-3,Byoi Thae AD-Z c14-3 6,Byoi Thae AD-Z c14-3 6 A Ring,3889.375000,275.687500,3439.625000,88
D5000_C001,638c01ef690854d9884e855031b1eadc2dcefed0,0.999972,Stranoa FR-N e6-882,Stranoa FR-N e6-882 A 1,Stranoa FR-N e6-882 A 1 B Ring,4307.875000,1377.187500,19356.593750,89
D5000_C001,8c3ad4aceb6c15b7f8e2063587cff08edeef5d42,0.999972,Eoch Grea IR-W f1-45,Eoch Grea IR-W f1-45 3,Eoch Grea IR-W f1-45 3 C Ring,4687.187500,-2022.281250,30513.250000,90
D5000_C001,97aa16955f253de665be1b801cb1058a2cbaa168,0.999972,Prua Dryoae WV-B c1-1,Prua Dryoae WV-B c1-1 4,Prua Dryoae WV-B c1-1 4 B Ring,1378.906250,-544.593750,255.812500,91
D5000_C001,f92f107c839d99a33b0ee67988f6cb3b936058a6,0.999971,Wredguia VZ-E c25-17,Wredguia VZ-E c25-17 5,Wredguia VZ-E c25-17 5 B Ring,-413.500000,106.656250,49.500000,92
D5000_C001,d6b2c303fc0622d2ba9d00e420bc291bb6023fea,0.999971,Eol Prou HK-Y c1-285,Eol Prou HK-Y c1-285 5,Eol Prou HK-Y c1-285 5 C Ring,-9537.468750,-895.750000,19513.500000,93
D5000_C001,1285a6b375de217b1f592d484f9ee35f8a1b8489,0.999971,Eorl Phyloi AA-A f3692,Eorl Phyloi AA-A f3692 2,Eorl Phyloi AA-A f3692 2 B Ring,1283.593750,1363.937500,27204.125000,94
D5000_C001,602bb2a2ef04d4c5d59599f1505d46252b362d44,0.999971,Phraa Pruae AA-A g222,Phraa Pruae AA-A g222 3,Phraa Pruae AA-A g222 3 A Ring,-2528.593750,-1284.437500,25934.718750,95
D5000_C001,bdecc4757e66ab5fe6566d6b28eaf640f08ea984,0.999970,Aunaihn OS-U f2-3441,Aunaihn OS-U f2-3441 2,Aunaihn OS-U f2-3441 2 B Ring,-5718.437500,1271.625000,21932.187500,96
D5000_C001,602398f11d5ac0a6d609a8a4e8495fbf288af519,0.999970,Prooe Drye LW-V d2-7,Prooe Drye LW-V d2-7 4,Prooe Drye LW-V d2-7 4 C Ring,-1721.750000,-810.937500,510.093750,97
D5000_C001,ea13106340a5694ce9b806651bcc47dcd5b684be,0.999970,Dryua Bloae OX-Y c2-28,Dryua Bloae OX-Y c2-28 8,Dryua Bloae OX-Y c2-28 8 C Ring,-15870.656250,-422.156250,28512.250000,98
D5000_C001,ed9126164b5fd0c3cb349d4326e916ef5c807f2d,0.999970,Col 359 Sector XL-R c6-0,Col 359 Sector XL-R c6-0 4,Col 359 Sector XL-R c6-0 4 B Ring,-610.093750,383.781250,388.250000,99
D5000_C001,04b1a1774889f49b70a0c2912b409e6cd0199a5e,0.999970,Hypoae Scrua XO-A f13,Hypoae Scrua XO-A f13 2,Hypoae Scrua XO-A f13 2 A Ring,-3924.875000,2315.000000,22033.937500,100
D5000_C001,3d6180a6635c313a60067ba2e864fb772907fb05,0.999970,Baukoa RZ-O e6-5038,Baukoa RZ-O e6-5038 2,Baukoa RZ-O e6-5038 2 C Ring,3051.500000,1136.843750,29627.093750,101
D5000_C001,c48086197550f5799d4fa589a9109664f3db13c0,0.999970,Eoch Flya HW-W f1-219,Eoch Flya HW-W f1-219 1,Eoch Flya HW-W f1-219 1 C Ring,-5280.781250,-1634.031250,17495.093750,102
D5000_C001,72046bac71b1526528fe3fa0c025061578dcb0cf,0.999970,Phroi Blou IU-L c22-239,Phroi Blou IU-L c22-239 4,Phroi Blou IU-L c22-239 4 C Ring,-3394.750000,-852.937500,34466.031250,103
D5000_C001,1bbe68fed72e05de8083a1735e7a41ad67d7018d,0.999969,Voqaa IH-V f2-714,Voqaa IH-V f2-714 2,Voqaa IH-V f2-714 2 B Ring,-9656.500000,-1599.968750,18005.781250,104
D5000_C001,88a2a184b7daa316293175b9f101b7c34b2c71e1,0.999969,Foesks BL-P e5-652,Foesks BL-P e5-652 2,Foesks BL-P e5-652 2 A Ring,4356.031250,1302.312500,16679.125000,105
D5000_C001,5eeb0057b2897aa1330196cece3a1eb0aac80763,0.999969,Eol Prou FG-Y g668,Eol Prou FG-Y g668 1,Eol Prou FG-Y g668 1 C Ring,-9561.531250,-695.906250,20269.187500,106
D5000_C001,32e7783b3257e833356de598c017e571e697f8f0,0.999968,Athair GG-Y f1100,Athair GG-Y f1100 1,Athair GG-Y f1100 1 B Ring,7215.218750,-1033.781250,22603.687500,107
D5000_C001,41fa030ab7cb30e9b09d953f4ebc167643a2d1a5,0.999968,Blu Euq UD-I c23-13,Blu Euq UD-I c23-13 8,Blu Euq UD-I c23-13 8 C Ring,990.031250,33.375000,5057.750000,108
D5000_C001,a46dc902667118d539e764d337984e19bc4302cc,0.999968,Spoihaae MT-X c15-0,Spoihaae MT-X c15-0 3,Spoihaae MT-X c15-0 3 B Ring,-9716.656250,-2203.000000,20131.093750,109
D5000_C001,9b25e8e954da107e389559c58d894e7b5d6632d9,0.999966,Pheia Briae LR-W d1-1423,Pheia Briae LR-W d1-1423 A 9,Pheia Briae LR-W d1-1423 A 9 C Ring,388.500000,86.906250,36232.656250,111
D5000_C001,073a0bd3e55bf3a6958985ab931f5d26983c524f,0.999966,Vegna LM-W e1-6834,Vegna LM-W e1-6834 2,Vegna LM-W e1-6834 2 A Ring,-7188.000000,101.250000,36489.843750,112
D5000_C001,99552f375423ef0b52fe283bcd13e8b45030217c,0.999964,Juenae BC-T d4-2651,Juenae BC-T d4-2651 8,Juenae BC-T d4-2651 8 C Ring,17.625000,-477.593750,26260.437500,114
D5000_C001,689eaef8a5ca92e4c85688db0af8a27c404c78d3,0.999964,Hypo Fruia GN-Q b35-0,Hypo Fruia GN-Q b35-0 8,Hypo Fruia GN-Q b35-0 8 A Ring,-22771.218750,562.937500,25296.187500,115
D5000_C001,59aa3428e87b33078f6b9e45f73963d7995a8f2c,0.999964,Myumbao JR-W f1-114,Myumbao JR-W f1-114 1,Myumbao JR-W f1-114 1 C Ring,3552.375000,-1967.312500,22800.312500,116
D5000_C001,299d79c7a407e4f5698d85b94f124aba3fbedf70,0.999964,Blooe Bloae KQ-K c22-0,Blooe Bloae KQ-K c22-0 2,Blooe Bloae KQ-K c22-0 2 B Ring,-16622.218750,-1104.531250,53658.500000,117
D5000_C001,f5ea49c623aa798c687d5c5b167f34081ff6c1f6,0.999963,Oob Auf FG-Y f33,Oob Auf FG-Y f33 1,Oob Auf FG-Y f33 1 B Ring,-11016.000000,1340.312500,19932.875000,118
D5000_C001,7ad95206730247a987327a510e0a2168d24f78bb,0.999963,Shrogaae MR-U c16-479,Shrogaae MR-U c16-479 4,Shrogaae MR-U c16-479 4 B Ring,4694.781250,92.812500,21440.156250,119
D5000_C001,85b2c85fc1fa12c91649f2a0f6f05c80505bd338,0.999963,Myumba AA-A g172,Myumba AA-A g172 3,Myumba AA-A g172 3 B Ring,-8560.656250,-2414.156250,22468.093750,120
D5000_C001,4a44973a8f9cc56c0fceb21d3c3bf42020e7d512,0.999963,Qeajaea ZG-A c28-5,Qeajaea ZG-A c28-5 4,Qeajaea ZG-A c28-5 4 C Ring,9742.906250,215.281250,7841.312500,121
D5000_C001,f92011f62d32ad4be1ce9428ad40cfe8706bf742,0.999963,Eol Prou AJ-J c9-127,Eol Prou AJ-J c9-127 3,Eol Prou AJ-J c9-127 3 B Ring,-9415.875000,-1094.593750,19844.500000,122
D5000_C001,939a121f69a77fc0bb79afb5140e30df978fb189,0.999963,Ooscs Aob JN-H d11-571,Ooscs Aob JN-H d11-571 ABC 3,Ooscs Aob JN-H d11-571 ABC 3 B Ring,-9081.000000,1128.593750,17847.812500,123
D5000_C001,a7bd86abed7033c52eda7a53b73b59bdfc876beb,0.999962,Boelts WF-H b24,Boelts WF-H b24 AB 2,Boelts WF-H b24 AB 2 C Ring,-7340.843750,-544.250000,15582.656250,124
D5000_C001,17f393dc5e41d438f66be01a37646fde5d243f60,0.999962,Eok Blao AA-A f2,Eok Blao AA-A f2 2,Eok Blao AA-A f2 2 B Ring,10420.843750,-1008.906250,27192.156250,125
