rank,ring_id,moi_metric,system_name,body_name,ring_name,x,y,z,theta_deg
222,9b1b5c90d8e123e84aef99662a93bc21c605676d,0.999938,Spoihaae VU-V d3-1090,Spoihaae VU-V d3-1090 9,Spoihaae VU-V d3-1090 9 C Ring,-9566.906250,-1350.500000,19759.593750,-147.374761
224,7a74a20ade410e2828a56241cdbac491028d230a,0.999937,Floaln TQ-R c6-2,Floaln TQ-R c6-2 AB 2,Floaln TQ-R c6-2 AB 2 B Ring,-12583.562500,-449.156250,14612.562500,-138.165032
231,40e81c38ef5c741b2d61e5eff848a844de7190e4,0.999935,Dryooe Prou AA-Y c1-15,Dryooe Prou AA-Y c1-15 7,Dryooe Prou AA-Y c1-15 7 C Ring,-9960.218750,-976.343750,20793.125000,-152.913474
233,a096e38e88ddd506a08e916bfe01b4b5208950c8,0.999934,Eord Blou MK-D d13-5581,Eord Blou MK-D d13-5581 B 4,Eord Blou MK-D d13-5581 B 4 A Ring,-7368.000000,-366.781250,28272.781250,162.206255
234,2cbe733071ea6eca25b1fca6585bc3f24a10d6b7,0.999934,Brambai AQ-Y f250,Brambai AQ-Y f250 1,Brambai AQ-Y f250 1 A Ring,-10235.718750,-1739.281250,18500.031250,-144.201778
238,2e897ff881da7e51334b3d545b4dcdfe3958cea5,0.999933,Dryooe Flyou NS-U f2-150,Dryooe Flyou NS-U f2-150 2,Dryooe Flyou NS-U f2-150 2 A Ring,-9670.843750,-1167.031250,19235.031250,-145.495913
242,aa9a0f69769960b663edc4df66b1e748632c8194,0.999932,Ooscs Fraae SP-E c25-1583,Ooscs Fraae SP-E c25-1583 A 1,Ooscs Fraae SP-E c25-1583 A 1 A Ring,-12208.343750,24.500000,20531.343750,-156.306022
246,056f4edc0d4e636cdce16f51633434f891e5f33f,0.999930,Bleae Airg MB-J c23-3,Bleae Airg MB-J c23-3 6,Bleae Airg MB-J c23-3 6 A Ring,-31981.843750,239.000000,15326.781250,-161.719586
248,63e6fa61961997a3221a93940b6557b4babb5d88,0.999930,Oephaif ED-X c16-113,Oephaif ED-X c16-113 6,Oephaif ED-X c16-113 6 B Ring,-11020.843750,577.218750,17590.062500,-143.046010
254,575f5d57294a862abc161ea8c22d8c7f96f80c34,0.999927,Hypao Fleau TE-A c29-5,Hypao Fleau TE-A c29-5 8,Hypao Fleau TE-A c29-5 8 C Ring,-25533.343750,584.187500,23235.656250,-174.048785
255,6b5520e28eeef502fd810e0d1c75f032785c2b5d,0.999927,Byoomue LM-W f1-1476,Byoomue LM-W f1-1476 A 1,Byoomue LM-W f1-1476 A 1 B Ring,-10393.406250,-1204.312500,25231.906250,-176.331106
264,c1f8abf410b05f6b6a480654f29829a364f962a1,0.999924,Hypuejua CA-X d2-559,Hypuejua CA-X d2-559 14,Hypuejua CA-X d2-559 14 B Ring,-10459.375000,-303.656250,27358.000000,172.082985
267,0d47daa9714ccaa16f36534114f2e000067677c3,0.999923,Eok Blou AA-A g340,Eok Blou AA-A g340 C 1,Eok Blou AA-A g340 C 1 A Ring,-2053.656250,-1301.906250,27527.375000,141.945086
270,35601a6e698f9d2f6737567e513d0dc87fb1bb94,0.999923,Phua Aub BW-C c13-6746,Phua Aub BW-C c13-6746 ABC 4,Phua Aub BW-C c13-6746 ABC 4 C Ring,-812.218750,298.437500,26377.406250,150.311793
272,5ff4709cba16e757593e2d354fc0bda4b8e546a4,0.999922,Eoch Pruae TY-J c24-374,Eoch Pruae TY-J c24-374 2,Eoch Pruae TY-J c24-374 2 A Ring,-8724.062500,-499.031250,20457.343750,-148.115687
274,d5ca1bf0e341ab8cdb6ff1a408d9ac0f8f621d09,0.999921,Eimbaisys AA-A h215,Eimbaisys AA-A h215 A 4,Eimbaisys AA-A h215 A 4 C Ring,-5166.031250,1529.125000,30169.656250,140.563464
275,0f766da948b8f5cd7beed4fe0015a281da34e8c8,0.999921,Aumainks GW-W f1-118,Aumainks GW-W f1-118 2,Aumainks GW-W f1-118 2 A Ring,-9591.875000,2076.625000,21472.187500,-155.278306
277,919ac1956fe236cde7253bdc2ade0797a788b47e,0.999920,Brambe WJ-A f517,Brambe WJ-A f517 1,Brambe WJ-A f517 1 B Ring,-8993.718750,-1724.437500,18279.406250,-139.803820
279,e935a60d63e5481f8d16110a33b509163db70830,0.999920,Eol Prou CW-M d7-433,Eol Prou CW-M d7-433 1,Eol Prou CW-M d7-433 1 A Ring,-9823.125000,-855.031250,20087.531250,-149.451133
282,52cd6b62cc17c1e061d94c07159c0900b5069825,0.999919,Phua Aub JW-N d6-5234,Phua Aub JW-N d6-5234 6,Phua Aub JW-N d6-5234 6 A Ring,-584.812500,58.406250,26447.375000,138.097060
283,c52c2ed036d2488e61bd120f6a57df151a803a79,0.999919,Hypoe Pruae AX-B c29-3226,Hypoe Pruae AX-B c29-3226 A 1,Hypoe Pruae AX-B c29-3226 A 1 A Ring,-3809.781250,-339.218750,25778.250000,-178.182104
290,75b42f849249641d17dcb234bf344b28efd313e6,0.999917,Schaea Prou XJ-T c6-0,Schaea Prou XJ-T c6-0 3,Schaea Prou XJ-T c6-0 3 C Ring,-9129.062500,-2656.781250,24840.437500,-173.397871
294,54e9d08a3ca0801cca64dead3cf50b10de4bab29,0.999914,Dryooe Prou NV-Y d1934,Dryooe Prou NV-Y d1934 5,Dryooe Prou NV-Y d1934 5 A Ring,-9065.375000,-1003.218750,20833.125000,-150.865922
300,a5040c31a7c4b0c6d6537ea89e14273f09f60bf5,0.999913,Kyloall CA-A f3425,Kyloall CA-A f3425 1,Kyloall CA-A f3425 1 C Ring,-8298.812500,-1077.750000,20959.593750,-149.310551
301,fb9008fbdacaed0bc0213d413b918c364c1fd40e,0.999913,Mylaifoi EG-Y g422,Mylaifoi EG-Y g422 2,Mylaifoi EG-Y g422 2 B Ring,-12831.281250,-752.343750,19409.093750,-153.212110
303,45f9afb815dd4efcb19e692eb32f9ce2174de4ab,0.999912,Eulairgh PS-U f2-395,Eulairgh PS-U f2-395 3,Eulairgh PS-U f2-395 3 C Ring,-9163.750000,1290.718750,17893.093750,-138.932497
308,2c113658127df29e9c0a1436819ff767d2ed9318,0.999911,Eephaints OI-X c16-6,Eephaints OI-X c16-6 A 5,Eephaints OI-X c16-6 A 5 C Ring,-16911.312500,-657.937500,17601.156250,-153.895386
318,6dfe0cc81daa99511e0302fdd12e1571d3cd4b85,0.999907,Dryao Phylio AA-A h662,Dryao Phylio AA-A h662 BC 2,Dryao Phylio AA-A h662 BC 2 B Ring,-3832.218750,1843.562500,28753.437500,143.508494
325,35383f0581132509dcafa4ed49f8015b2f4598b6,0.999903,Floasly KU-D d13-36,Floasly KU-D d13-36 B 12,Floasly KU-D d13-36 B 12 B Ring,-17429.812500,-219.875000,15423.281250,-149.027389
330,6aa49a08a236e53cc8d2691169d2b36d75f825c9,0.999900,Hueme DC-T d4-344,Hueme DC-T d4-344 5,Hueme DC-T d4-344 5 C Ring,-7453.843750,-1713.468750,26224.718750,177.513709
333,75eb04dec65c6aa1eca7090de0f62f23e0b9583e,0.999899,Dryooe Prou AA-A f1966,Dryooe Prou AA-A f1966 3,Dryooe Prou AA-A f1966 3 B Ring,-10125.406250,-1015.875000,20795.625000,-153.304004
346,572c9162916763d734e61553c591fe5aacbf1f66,0.999891,Dryio Flyuae AA-A h478,Dryio Flyuae AA-A h478 1,Dryio Flyuae AA-A h478 1 B Ring,-8667.437500,-71.843750,18782.125000,-140.688212
349,63b56281ace3f459ca389fb047435981622607ff,0.999889,Eok Blou AA-A h261,Eok Blou AA-A h261 1,Eok Blou AA-A h261 1 B Ring,-2234.093750,-433.250000,27343.375000,147.426725
350,7b1db83b46e84a3082400b71e674adde0d49ffcb,0.999889,Phua Aub NM-W e1-150,Phua Aub NM-W e1-150 1,Phua Aub NM-W e1-150 1 C Ring,-421.031250,133.375000,26261.812500,140.962982
357,3e0516f1b6a2cff6b05b203edc8d31a5352f4942,0.999885,Eol Prou NF-Y c1-204,Eol Prou NF-Y c1-204 ABC 1,Eol Prou NF-Y c1-204 ABC 1 C Ring,-9372.156250,-922.218750,19502.937500,-145.755889
358,469ba78599cc2d065377bc8b48a6331252bd3fd9,0.999884,Chraisooe JD-X c3-1,Chraisooe JD-X c3-1 5,Chraisooe JD-X c3-1 5 C Ring,-8579.031250,-1703.000000,31096.125000,148.871980
359,334a561d7f56e5a897978deb9e48929e9f948f1e,0.999884,Greou Hypoe CY-B c29-0,Greou Hypoe CY-B c29-0 3,Greou Hypoe CY-B c29-0 3 C Ring,-16784.812500,-1619.250000,14257.500000,-145.293892
362,fa86af555483ca6d6bebec88d329d04a0bfa9a11,0.999883,Pho Aoscs FG-Y g14,Pho Aoscs FG-Y g14 1,Pho Aoscs FG-Y g14 1 C Ring,-3101.437500,2643.375000,24044.812500,-149.317838
366,172c11684631f93d37d5212515aa1a7747468a2a,0.999882,Hypiae Ausms LG-Y e1688,Hypiae Ausms LG-Y e1688 A 1,Hypiae Ausms LG-Y e1688 A 1 B Ring,-7750.937500,1310.906250,24759.375000,-171.655453
368,4859ce0865f9f93144c5d00aa26396bca795e9e5,0.999882,Eol Prou QE-Q e5-3682,Eol Prou QE-Q e5-3682 4,Eol Prou QE-Q e5-3682 4 B Ring,-10203.781250,-631.218750,20463.218750,-152.009196
374,c4648dfbc43435349fdc983c239865bd66a6eed5,0.999877,Byoomao CR-N e6-3615,Byoomao CR-N e6-3615 A 1,Byoomao CR-N e6-3615 A 1 B Ring,-1264.906250,-1302.593750,25724.843750,-172.269767
378,8494d137248c2d0a12faffa48e70ed218598f891,0.999876,Umbaisk AA-A h52,Umbaisk AA-A h52 B 3,Umbaisk AA-A h52 B 3 B Ring,-15916.437500,-29.062500,30857.437500,162.725572
396,a3efb14cc7fa32afef8fb41470ce5e9d67207059,0.999870,Groomuia RP-D c5,Groomuia RP-D c5 2,Groomuia RP-D c5 2 C Ring,-31925.000000,-544.031250,24557.250000,-177.593542
405,634f639a17144923d9a81e1404e8575da91ab5af,0.999867,Theemae AA-A g170,Theemae AA-A g170 1,Theemae AA-A g170 1 B Ring,-3747.906250,1859.062500,23833.281250,-151.288763
406,e42c7d1c178e59291f12ed16fb25493a6f8f2060,0.999867,Eol Flyou FG-Y g522,Eol Flyou FG-Y g522 1,Eol Flyou FG-Y g522 1 C Ring,-9606.593750,-775.718750,18110.625000,-141.037183
408,ebea5a2a3d55ef5edc07b9d0b7e41f85bac10063,0.999865,Dryao Phylio AA-A h156,Dryao Phylio AA-A h156 2,Dryao Phylio AA-A h156 2 B Ring,-3242.343750,1504.375000,28945.250000,137.016606
410,b470d62fa567076cd2f31b9ccf6e6ee64357c380,0.999864,Phroea Flyuae IM-W f1-1483,Phroea Flyuae IM-W f1-1483 2,Phroea Flyuae IM-W f1-1483 2 A Ring,-7683.625000,-1013.875000,23927.687500,-165.648914
421,44eb55b46f1511958698de9716d028d91fea19ef,0.999857,Brambue GH-V f2-169,Brambue GH-V f2-169 1,Brambue GH-V f2-169 1 A Ring,-11299.781250,-1348.375000,19397.468750,-150.136756
428,0d3964593035c48e41171ce8cf07fb1c24b79110,0.999853,Choomee CX-S d4-38,Choomee CX-S d4-38 10,Choomee CX-S d4-38 10 C Ring,-2618.250000,733.218750,24990.906250,-161.022418
431,57fdfdbb7379161650e7f737c75660964c56e69c,0.999853,Dryuae Phyloea AA-A g194,Dryuae Phyloea AA-A g194 A 3,Dryuae Phyloea AA-A g194 A 3 C Ring,-6295.875000,1562.687500,28722.343750,155.939188
435,78435c100733caa0974a617bff4c7168045bf5b6,0.999850,Myriesly MT-G c24-4237,Myriesly MT-G c24-4237 A 4,Myriesly MT-G c24-4237 A 4 C Ring,-621.500000,104.812500,25585.031250,-154.034958
441,34a39d99fbbd5a1d0fd1d935855302ad86026ee5,0.999848,Dryaea Aob JR-E c14-54,Dryaea Aob JR-E c14-54 4,Dryaea Aob JR-E c14-54 4 C Ring,-10161.937500,1055.875000,18756.875000,-144.962390
455,c284ed0f007e95d76e99707bad29fd683caf0c66,0.999841,Drumbaae AA-A h332,Drumbaae AA-A h332 B 3,Drumbaae AA-A h332 B 3 A Ring,-8947.656250,1761.625000,22698.625000,-160.364608
456,899f8d00321a36599ada4fc33795f89b655cf01a,0.999841,Eol Prou HC-K d9-256,Eol Prou HC-K d9-256 AB 3,Eol Prou HC-K d9-256 AB 3 B Ring,-9390.718750,-534.031250,20242.187500,-148.999485
463,5b33f8bebb1f88de4af0a91082b3b63188891284,0.999838,Eor Ausms EG-Y g445,Eor Ausms EG-Y g445 B 2,Eor Ausms EG-Y g445 B 2 B Ring,-7529.375000,1451.375000,20098.625000,-142.478525
468,03eb6cc8a61cb852e8af2d96054aa32d21125602,0.999836,Boeff MZ-Q c21-53,Boeff MZ-Q c21-53 2,Boeff MZ-Q c21-53 2 C Ring,-12919.093750,-111.531250,16527.750000,-144.093904
470,9f6a4e4c3bb6867434eb0c05c4b6d0331390dbec,0.999835,Aunaihm LM-W f1-976,Aunaihm LM-W f1-976 A 2,Aunaihm LM-W f1-976 A 2 C Ring,-7936.218750,1416.031250,21535.968750,-151.270993
471,929fc82bb50956168b54c1b097389930db8409b9,0.999835,Dryooe Flyou DG-K c23-294,Dryooe Flyou DG-K c23-294 3,Dryooe Flyou DG-K c23-294 3 C Ring,-9027.343750,-817.500000,19163.625000,-143.345712
472,a8abdbaf9c4c67f27253643ff71e2b6b4da382b3,0.999835,Voqaa JH-V f2-503,Voqaa JH-V f2-503 1,Voqaa JH-V f2-503 1 B Ring,-9107.156250,-1367.843750,17910.656250,-138.819461
485,fab2ce1d35b52de9cccc2fe12e5ff5af51c7099f,0.999830,Eol Prou NS-U f2-2044,Eol Prou NS-U f2-2044 2,Eol Prou NS-U f2-2044 2 B Ring,-9811.187500,-1118.343750,20502.281250,-151.244403
487,40994d12e131900b7ab81ae3b1867535fa64ed17,0.999829,Eephaills EV-O d6-61,Eephaills EV-O d6-61 14,Eephaills EV-O d6-61 14 B Ring,-10440.968750,-799.875000,17415.625000,-140.970282
489,442da50071fea71fa9c8b2c6d573feec84ebf9d0,0.999828,Oephaivsky AQ-X d1-2,Oephaivsky AQ-X d1-2 5,Oephaivsky AQ-X d1-2 5 A Ring,-12473.625000,458.875000,17084.843750,-144.805631
498,ed822fdaa94f45be5402ebb3da554e04200747dc,0.999824,Croomoea DR-N e6-3263,Croomoea DR-N e6-3263 3,Croomoea DR-N e6-3263 3 A Ring,-3640.593750,1350.531250,25793.437500,-178.335410
500,c5d75fcd2acd77e35507f8250ef5bb4024e50eb8,0.999823,Hypua Bliae OP-N d7-18,Hypua Bliae OP-N d7-18 6,Hypua Bliae OP-N d7-18 6 C Ring,-12855.500000,-569.937500,32876.343750,151.559413
511,be996315f4da45884ea196ca7fee01d756488ee1,0.999821,Phua Audst ZE-A f1330,Phua Audst ZE-A f1330 A 3,Phua Audst ZE-A f1330 A 3 C Ring,-715.687500,1873.031250,25890.843750,-179.294381
515,8962157fa3009d447f7de582f789f63760fd1503,0.999819,Eoch Pruae WL-A c28-196,Eoch Pruae WL-A c28-196 3,Eoch Pruae WL-A c28-196 3 C Ring,-8206.000000,-1020.218750,20625.218750,-147.347338
517,46a3bf225f09e06c89f592ef5347e90e4864c190,0.999817,Dryao Phylio AA-A h224,Dryao Phylio AA-A h224 A 2,Dryao Phylio AA-A h224 A 2 C Ring,-3298.000000,2050.656250,29063.500000,136.410193
519,b6df006c14c433f559cfc0612191a650fd1fbfaf,0.999816,Dryooe Flyou ZG-Z c28-119,Dryooe Flyou ZG-Z c28-119 4,Dryooe Flyou ZG-Z c28-119 4 C Ring,-9287.593750,-881.812500,19389.437500,-145.042834
524,21a4918fbd5a493fa0810216f141cdf1013a6e65,0.999814,Eorgh Prou FC-U d3-401,Eorgh Prou FC-U d3-401 A 9,Eorgh Prou FC-U d3-401 A 9 B Ring,-11477.562500,-762.093750,19738.906250,-151.825829
528,db0b65febfe4f63f7ed198c6ea084953e72d201f,0.999813,Scheau Pri EO-L c23-415,Scheau Pri EO-L c23-415 3,Scheau Pri EO-L c23-415 3 C Ring,-5663.812500,-532.968750,25552.468750,-176.504576
534,916a82962a104338250a352184310d413b565243,0.999811,Eorgh Prou HL-O d6-418,Eorgh Prou HL-O d6-418 A 7,Eorgh Prou HL-O d6-418 A 7 A Ring,-10517.343750,-920.656250,19981.187500,-150.689374
540,1dc8e46d2bcadaf90aee8dab3a48d46de8e3c7e0,0.999809,Eoch Pruae GX-B d13-2412,Eoch Pruae GX-B d13-2412 5,Eoch Pruae GX-B d13-2412 5 B Ring,-8384.125000,-1006.125000,20546.156250,-147.517113
545,65173a9b8bb8631e939242ebb4af85764ebcda86,0.999804,Byoomi AL-B b19-85,Byoomi AL-B b19-85 2,Byoomi AL-B b19-85 2 C Ring,-1462.562500,-168.875000,24936.625000,-147.076797
546,5739de82ac2df9e30d439cc0f743081967651a27,0.999804,Dryu Scroi SS-O b47-7,Dryu Scroi SS-O b47-7 5,Dryu Scroi SS-O b47-7 5 C Ring,-10489.531250,1318.781250,19161.875000,-147.347317
