rank,ring_id,moi_metric,system_name,body_name,ring_name,x,y,z,theta_deg
478,3c737440c75d9a78806c02959da9ca0a16e6c60a,0.999834,Dryaa Flyao OS-B d320,Dryaa Flyao OS-B d320 8,Dryaa Flyao OS-B d320 8 B Ring,8165.437500,-528.093750,18193.031250,-43.433851
483,8a299f4bbf8790dd02fd39089b7a223a15d018f3,0.999831,Hypoe Prue GR-W f1-231,Hypoe Prue GR-W f1-231 2,Hypoe Prue GR-W f1-231 2 B Ring,6342.906250,-2175.250000,25403.437500,-4.493857
492,a368b2275f49ec2cf0ed061000fd1d9a3b30eabc,0.999826,Phoi Aurb AA-A h241,Phoi Aurb AA-A h241 AB 1,Phoi Aurb AA-A h241 AB 1 B Ring,5048.656250,1327.312500,26179.812500,3.188516
509,527cbcb8df81b4925b73528d4b31041e4de54527,0.999822,Stuemeae KC-Y c3-602,Stuemeae KC-Y c3-602 6,Stuemeae KC-Y c3-602 6 A Ring,842.250000,1057.000000,26010.875000,7.730251
510,d974cd2d9f991afdf56ce102690ce1298fe4bf29,0.999821,Blia Aewsy SO-R c4-0,Blia Aewsy SO-R c4-0 2,Blia Aewsy SO-R c4-0 2 A Ring,15379.531250,56.187500,11936.843750,-42.283206
539,f309e96e20a09c9512943fb8380fd99cb6f9f84d,0.999810,Zunao RZ-O e6-5219,Zunao RZ-O e6-5219 3,Zunao RZ-O e6-5219 3 B Ring,1774.968750,1103.906250,24452.750000,-39.594161
588,e5ce0ae3f27deb041723881ebf1b4778dc34bd3c,0.999781,Eembaism WB-C d13-2291,Eembaism WB-C d13-2291 13,Eembaism WB-C d13-2291 13 B Ring,6373.593750,362.281250,30836.218750,37.867251
600,e025b8684cb514147656ef980347154c8f6900ea,0.999774,Blooe Phoe RU-D c26-0,Blooe Phoe RU-D c26-0 3,Blooe Phoe RU-D c26-0 3 A Ring,14857.093750,-1061.718750,15416.687500,-35.252958
602,76dff07073a82d7d7649985e3ce45f7805d77bbf,0.999772,Kyloagy WT-E c182,Kyloagy WT-E c182 B 8,Kyloagy WT-E c182 B 8 C Ring,7160.343750,-268.875000,20695.343750,-36.108399
605,0375ca33ef91f6557bf790bb02e9bb9ddfc1a2a2,0.999770,Blue Phoe UW-A d14-1,Blue Phoe UW-A d14-1 8,Blue Phoe UW-A d14-1 8 C Ring,20443.906250,-674.500000,15509.187500,-26.970899
615,ce097ef985841f4958560ae2f27a592228ab003a,0.999763,Schee Prue DL-Y g983,Schee Prue DL-Y g983 3,Schee Prue DL-Y g983 3 C Ring,3581.406250,-1791.218750,25285.656250,-9.800818
616,faa00b5bcbcc02f863f24354c129cb401ad0388d,0.999762,Schee Prau AA-A h417,Schee Prau AA-A h417 5,Schee Prau AA-A h417 5 B Ring,5552.468750,-689.281250,25239.562500,-6.813507
648,24b7f0430146d6bfde90f19e0a3fae719cb149ea,0.999713,Egnaix HR-W f1-120,Egnaix HR-W f1-120 4,Egnaix HR-W f1-120 4 A Ring,5671.406250,1714.281250,22796.906250,-28.792555
666,5f835b9185fc17e46743801ced1e395bb82f36af,0.999687,Plipua BF-A f189,Plipua BF-A f189 2,Plipua BF-A f189 2 A Ring,6130.250000,1724.156250,27381.906250,13.644101
677,3f9e07fdc86ab12c35680ce79292ed09ba662294,0.999676,Juenae OQ-Y c3-3668,Juenae OQ-Y c3-3668 3,Juenae OQ-Y c3-3668 3 A Ring,181.531250,-77.062500,26012.187500,35.675052
700,5fbd2a02363e8daf245705dc970a27a2412a744c,0.999641,Croomae JG-Y e2856,Croomae JG-Y e2856 A 1,Croomae JG-Y e2856 A 1 B Ring,3329.187500,1274.218750,24758.750000,-19.055345
701,34fc6d955c1cc83a2a64e4e467723e6209e37e46,0.999641,Dryoea Blao VJ-R e4-98,Dryoea Blao VJ-R e4-98 2,Dryoea Blao VJ-R e4-98 2 C Ring,5589.343750,-997.687500,29247.062500,31.028970
716,5b8c87400053431d5d5a7625e96629dc8d877b50,0.999615,Athair LP-D d13-242,Athair LP-D d13-242 10,Athair LP-D d13-242 10 C Ring,6798.250000,-344.218750,23102.156250,-22.444604
720,71ff7b7142f5d3f0030885b8229b39947053039b,0.999597,Dumbue PN-S d4-155,Dumbue PN-S d4-155 A 9,Dumbue PN-S d4-155 A 9 B Ring,4518.875000,543.281250,22397.593750,-37.933004
726,c28b09910132ca8e3b8b99ef407fcc47cbc1ef82,0.999591,Phrio Prue GH-V f2-652,Phrio Prue GH-V f2-652 2,Phrio Prue GH-V f2-652 2 A Ring,1425.062500,-1327.000000,27064.812500,39.764659
733,595b8580225712d9f37b7c37b251a13dbe2d3fac,0.999582,Myrielk LE-G c24-2205,Myrielk LE-G c24-2205 2,Myrielk LE-G c24-2205 2 C Ring,412.437500,-5.031250,25605.968750,-37.207976
760,066d6ab5697f9c1d0fd55f843f920720ebb062ab,0.999516,Hypoe Ploe ZO-Z d442,Hypoe Ploe ZO-Z d442 11,Hypoe Ploe ZO-Z d442 11 A Ring,9659.875000,-668.000000,22079.468750,-21.630170
774,2972a2bd587a9e3b514e905cecb9e8deb60fdd8e,0.999497,Hypiae Aug CQ-Y f153,Hypiae Aug CQ-Y f153 3,Hypiae Aug CQ-Y f153 3 A Ring,1930.343750,1973.250000,25131.687500,-21.962781
775,7d581e98b8dedc729f1fe2c9e975c6d68b400627,0.999488,Hypoe Ploe FU-A d5,Hypoe Ploe FU-A d5 4,Hypoe Ploe FU-A d5 4 C Ring,10003.187500,-917.468750,21994.000000,-21.378322
778,84902ca4273f4ecc84f6db436a48373119d54d69,0.999470,Eord Prau XP-N d7-615,Eord Prau XP-N d7-615 B 7,Eord Prau XP-N d7-615 B 7 B Ring,5846.625000,-576.718750,20134.968750,-44.721068
782,25114cc4467dc75e64439eaa6bf17663c261f38f,0.999462,Eord Blao VY-S e3-249,Eord Blao VY-S e3-249 3,Eord Blao VY-S e3-249 3 A Ring,5907.468750,-1200.000000,27791.625000,17.827126
802,f9e3db12547c5ff708fc3e945465b69d249b2bdc,0.999403,Sphaulooe EP-Q c21-2,Sphaulooe EP-Q c21-2 4,Sphaulooe EP-Q c21-2 4 A Ring,27547.625000,-220.875000,29308.062500,7.058990
804,7fdeabaf4b657652834ca0ed277e37806f83f1fb,0.999399,Froade HG-Q b20-6,Froade HG-Q b20-6 3,Froade HG-Q b20-6 3 C Ring,11525.500000,312.093750,14739.156250,-44.141759
805,a6272802f4caf292dcf10d89fa31911c38585c4d,0.999397,Hypou Aurb NS-K d8-25,Hypou Aurb NS-K d8-25 3,Hypou Aurb NS-K d8-25 3 B Ring,9653.125000,1534.218750,25270.406250,-3.741207
809,bf40b3513a1928228f8a0aadaf3a5f05e22d705a,0.999387,Aunaiwyg LX-U f2-693,Aunaiwyg LX-U f2-693 3,Aunaiwyg LX-U f2-693 3 C Ring,4208.218750,1763.031250,21792.031250,-44.481283
814,c07584d699c259f2b41c4a315caa1c5c13def5e4,0.999372,Dumbue PN-S d4-7,Dumbue PN-S d4-7 AB 1,Dumbue PN-S d4-7 AB 1 B Ring,4522.843750,578.062500,22413.781250,-37.779887
850,0a40ad8f688de0812ab2f3886ee96067ad3e3dc2,0.999253,Kueme KN-B c29-7,Kueme KN-B c29-7 3,Kueme KN-B c29-7 3 A Ring,16901.000000,-413.718750,27091.375000,4.038301
865,f34cb1b9de2e6050a0a916872d59777d5b75c275,0.999188,Eembaitl LE-P c19-6,Eembaitl LE-P c19-6 7,Eembaitl LE-P c19-6 7 B Ring,29677.281250,52.812500,30525.062500,8.865491
880,1d669f48766e697c1bdc7461eef13311f02609c9,0.999100,Zuneae AA-X d2-654,Zuneae AA-X d2-654 5,Zuneae AA-X d2-654 5 C Ring,6065.500000,983.281250,23511.250000,-21.577054
886,31b01f48fe6318cefa2df2316cac685cc4e9bb44,0.999071,Athaiwyg PE-F d12-25,Athaiwyg PE-F d12-25 11,Athaiwyg PE-F d12-25 11 B Ring,12363.718750,-393.500000,23079.718750,-12.875096
890,9870a8ddf405cee195e76512269a2c97c0d025cb,0.999059,Slehue KQ-P d5-1,Slehue KQ-P d5-1 5,Slehue KQ-P d5-1 5 A Ring,29280.812500,121.625000,9668.656250,-29.021976
895,58909591442ff46678be36e6917981d0914d1f5b,0.999015,Dryu Aoc WB-O c6-0,Dryu Aoc WB-O c6-0 A 4,Dryu Aoc WB-O c6-0 A 4 C Ring,27777.125000,55.156250,18417.812500,-15.088678
923,5fc31a3dea2e36e4aea709db7281a68bb442843a,0.998757,Quemaae KH-D b26-0,Quemaae KH-D b26-0 8,Quemaae KH-D b26-0 8 C Ring,7540.531250,2614.250000,26378.781250,3.645478
926,1fd58dcaed68a2b286ecb6e7f422734dbd45dfa0,0.998746,Eachaiv AA-A h26,Eachaiv AA-A h26 AB 4,Eachaiv AA-A h26 AB 4 B Ring,3166.281250,-1587.250000,23763.656250,-34.220566
942,3b90fd8020025fe558fc6915894f0de5650d5ac4,0.998640,Eorm Phyloi AQ-Y f177,Eorm Phyloi AQ-Y f177 1,Eorm Phyloi AQ-Y f177 1 A Ring,6581.156250,1996.906250,27484.000000,13.583346
950,cf5f76e90e1ef3d82da7fcd672571f2d0c0e22f8,0.998524,Bleethuia LK-Q c5-0,Bleethuia LK-Q c5-0 1,Bleethuia LK-Q c5-0 1 B Ring,17508.937500,-1070.187500,37578.562500,33.741722
962,a12e43e50e524d0841babc45a0ca0ad922377e9e,0.998457,Hypuae Auwsy QH-C c29-31,Hypuae Auwsy QH-C c29-31 3,Hypuae Auwsy QH-C c29-31 3 C Ring,11067.875000,1053.375000,25801.625000,-0.510252
965,ec03d938d0113ab78b02310162cae6438fe082b8,0.998431,Aishaint VE-G d11-64,Aishaint VE-G d11-64 AB 2,Aishaint VE-G d11-64 AB 2 B Ring,11276.625000,545.968750,34457.500000,37.255688
